Timestamps,GT2 TURB SPEED,GT2 GEN OUTPUT,GT2 GT GEN OUTPUT,GT2 ST GEN OUTPUT,GT2 IGV POS,GT2 COMP ILET AIR TEMP,GT2 COMP OLET AIR TEMP,GT2 GT ROTOR COOL AIR TEMP(R),GT2 GT ROTOR COOL AIR TEMP(L),GT2 GT NO2 ROW DISC CAVITY TEMP(R),GT2 GT NO2 ROW DISC CAVITY TEMP(L),GT2 GT NO3 ROW DISC CAVITY TEMP(R),GT2 GT NO3 ROW DISC CAVITY TEMP(L),GT2 GT NO4 ROW DISC CAVITY TEMP(R),GT2 GT NO4 ROW DISC CAVITY TEMP(L),GT2 GT NO4 ROW DISC CAVITY TEMP(DOWN STREAM),GT2 LO SPLY TEMP,GT2 NO1 BRG DRN OIL TEMP,GT2 NO2 BRG DRN OIL TEMP,GT2 NO3 BRG DRN OIL TEMP,GT2 NO4 BRG DRN OIL TEMP,GT2 NO5 BRG DRN OIL TEMP,GT2 NO6 BRG DRN OIL TEMP,GT2 NO7 BRG DRN OIL TEMP,GT2 NO8 BRG DRN OIL TEMP,GT2 THRUST BRG DRN OIL TEMP,GT2 NO1 BRG PAD MTL TEMP-1,GT2 NO1 BRG PAD MTL TEMP-2,GT2 NO2 BRG PAD MTL TEMP-1,GT2 NO2 BRG PAD MTL TEMP-2,GT2 NO3 BRG PAD MTL TEMP-1,GT2 NO3 BRG PAD MTL TEMP-2,GT2 NO4 BRG PAD MTL TEMP-1,GT2 NO4 BRG PAD MTL TEMP-2,GT2 NO5 BRG PAD MTL TEMP,GT2 NO6 BRG PAD MTL TEMP,GT2 GEN BRG PAD MTL TEMP NO7-1,GT2 GEN BRG MTL TEMP NO7-2,GT2 GEN BRG PAD MTL TEMP NO8-1,GT2 GEN BRG MTL TEMP NO8-2,GT2 THRUST BRG PAD MTL TEMP(GT SIDE)-1,GT2 THRUST BRG PAD MTL TEMP(GT SIDE)-2,GT2 THRUST BRG PAD MTL TEMP(ST SIDE)-1,GT2 THRUST BRG PAD MTL TEMP(ST SIDE)-2,GT2 NO1 BRG ROTOR VIBRATION -X,GT2 NO1 BRG ROTOR VIBRATION -Y,GT2 NO2 BRG ROTOR VIBRATION -X,GT2 NO2 BRG ROTOR VIBRATION -Y,GT2 NO3 BRG ROTOR VIBRATION -X,GT2 NO3 BRG ROTOR VIBRATION -Y,GT2 NO4 BRG ROTOR VIBRATION -X,GT2 NO4 BRG ROTOR VIBRATION -Y,GT2 NO5 BRG ROTOR VIBRATION -X,GT2 NO5 BRG ROTOR VIBRATION -Y,GT2 NO6 BRG ROTOR VIBRATION -X,GT2 NO6 BRG ROTOR VIBRATION -Y,GT2 NO7 BRG ROTOR VIBRATION -X,GT2 NO7 BRG ROTOR VIBRATION -Y,GT2 NO8 BRG ROTOR VIBRATION -X,GT2 NO8 BRG ROTOR VIBRATION -Y,GT2 ROTOR POS-1(GT Side),GT2 ROTOR POS-2(GT Side),GT2 ROTOR POS-3(GT Side),GT2 ROTOR POS -1(ST Side),GT2 ROTOR POS -2(ST Side),GT2 ROTOR POS -3(ST Side),GT2 ROTOR ECCENTRICITY,GT2 BLADE PATH TEMP AVERAGE,GT2 EXH GAS TEMP AVERAGE,GT2 Brg1]XAmplitude,GT2 Brg1]YAmplitude,GT2 Brg2]XAmplitude,GT2 Brg2]YAmplitude,GT2 Brg3]XAmplitude,GT2 Brg4]XAmplitude,GT2 Brg5]XAmplitude,GT2 Brg1]XPhase,GT2 Brg1]YPhase,GT2 Brg2]XPhase,GT2 Brg2]YPhase,GT2 Brg3]XPhase,GT2 Brg4]XPhase,GT2 Brg5]XPhase,GT2 Brg1]XAmplitude (OA),GT2 Brg1]YAmplitude (OA),GT2 Brg2]XAmplitude (OA),GT2 Brg2]YAmplitude (OA),GT2 Brg3]XAmplitude (OA),GT2 Brg4]XAmplitude (OA),GT2 Brg5]XAmplitude (OA),Unnamed: 91
2021/04/07 05:20:00,0.015,0.000,0.182,0.000,5.066,9.245,110.871,92.028,84.117,170.767,168.410,175.854,180.233,181.951,172.686,131.011,35.099,35.351,34.757,34.397,35.941,36.124,34.755,32.152,31.330,34.662,35.906,35.896,35.260,34.852,38.517,39.494,37.873,39.035,36.693,37.849,34.231,34.440,37.872,38.000,35.443,35.358,35.271,35.358,1.092,1.367,1.157,2.095,2.276,1.913,1.275,2.004,1.637,2.096,0.728,1.549,2.732,2.644,1.183,1.639,-0.326,-0.500,-0.413,-0.317,-0.392,-0.426,0.023,170.015,167.710,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2021/04/07 05:20:01,0.015,0.000,0.182,0.000,5.103,9.245,110.849,92.003,84.117,170.745,168.158,175.832,180.233,181.929,172.938,130.989,35.099,35.351,34.757,34.397,35.941,36.124,34.786,32.152,31.330,34.662,35.906,35.896,35.260,34.931,38.587,39.431,37.803,39.035,36.693,37.849,34.162,34.440,37.872,37.937,35.512,35.358,35.271,35.358,1.274,1.549,1.543,2.187,2.094,1.639,1.184,2.004,2.455,2.370,0.637,1.094,2.459,2.553,1.456,1.639,-0.322,-0.480,-0.418,-0.302,-0.394,-0.412,0.023,169.993,167.704,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2021/04/07 05:20:02,0.015,0.000,0.182,0.000,5.103,9.245,110.871,92.003,83.833,170.745,168.158,175.832,180.233,181.929,172.938,130.760,35.099,35.351,34.757,34.397,35.872,36.124,34.755,32.152,31.330,34.662,35.906,35.896,35.260,34.931,38.517,39.431,37.803,38.972,36.693,37.849,34.162,34.440,37.802,37.937,35.443,35.358,35.271,35.421,1.001,1.913,1.928,3.189,1.275,2.368,1.092,1.821,2.001,3.099,0.637,1.094,2.914,1.641,1.820,1.639,-0.330,-0.487,-0.428,-0.274,-0.361,-0.438,0.023,170.023,167.704,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2021/04/07 05:20:03,0.015,0.000,0.182,0.000,5.066,9.271,110.871,92.003,84.117,170.745,168.158,175.832,180.233,181.929,172.938,131.011,35.099,35.351,34.693,34.397,35.941,36.124,34.755,32.152,31.330,34.598,35.906,35.833,35.260,34.852,38.517,39.431,37.803,38.972,36.693,37.849,34.162,34.440,37.872,37.937,35.443,35.279,35.202,35.358,0.819,1.458,1.253,1.549,1.457,2.004,1.457,2.368,1.546,2.825,1.001,1.276,2.095,1.732,1.274,1.366,-0.339,-0.508,-0.432,-0.314,-0.354,-0.428,0.023,169.993,167.704,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2021/04/07 05:20:04,0.015,0.000,0.182,0.000,5.103,9.245,110.871,92.003,84.117,170.745,168.158,175.832,180.233,181.929,172.686,130.760,35.099,35.351,34.779,34.397,35.941,36.124,34.692,32.152,31.330,34.684,35.906,35.919,35.260,34.953,38.587,39.431,37.873,38.972,36.693,37.849,34.162,34.463,37.872,37.960,35.443,35.381,35.202,35.444,0.728,1.549,1.639,2.004,1.548,2.004,1.639,1.548,2.001,2.643,1.092,1.732,1.002,1.915,1.274,1.457,-0.345,-0.493,-0.433,-0.298,-0.408,-0.372,0.023,170.023,167.638,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2021/04/07 05:20:05,0.015,0.000,0.000,0.000,5.103,9.245,110.871,92.028,83.833,170.767,168.158,175.854,180.233,181.700,172.938,130.760,35.099,35.351,34.693,34.397,35.941,36.124,34.692,32.152,31.330,34.662,35.906,35.896,35.260,34.931,38.517,39.431,37.873,38.972,36.693,37.849,34.162,34.440,37.872,37.937,35.443,35.279,35.202,35.358,1.001,1.184,1.735,1.913,1.275,2.368,1.912,1.457,2.910,2.825,1.184,1.185,1.639,2.279,1.274,1.366,-0.327,-0.499,-0.421,-0.309,-0.397,-0.418,0.023,170.023,167.771,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2021/04/07 05:20:06,0.015,0.000,0.182,0.000,5.066,9.271,110.871,91.744,83.833,170.767,168.158,175.854,180.233,181.700,172.938,130.760,35.099,35.351,34.757,34.397,35.941,36.124,34.755,32.152,31.330,34.662,35.906,35.959,35.260,34.931,38.517,39.431,37.803,38.972,36.693,37.849,34.162,34.440,37.872,37.937,35.443,35.358,35.271,35.421,1.092,1.093,1.543,1.184,1.366,3.279,1.730,1.275,2.364,1.823,1.457,1.185,1.730,2.918,1.456,1.457,-0.327,-0.499,-0.429,-0.265,-0.392,-0.437,0.023,170.001,167.710,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2021/04/07 05:20:07,0.015,0.000,0.182,0.000,5.103,9.245,110.871,91.719,83.833,170.745,168.158,175.832,180.233,181.678,172.938,130.760,35.099,35.351,34.757,34.371,35.941,36.124,34.755,32.152,31.330,34.662,35.906,35.896,35.260,34.931,38.517,39.431,37.803,38.972,36.693,37.849,34.162,34.440,37.872,37.937,35.512,35.358,35.271,35.358,1.092,1.458,1.061,3.371,1.912,1.821,1.366,1.366,3.183,2.552,1.001,1.094,1.457,3.009,1.365,2.004,-0.307,-0.479,-0.447,-0.238,-0.403,-0.420,0.023,170.023,167.638,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2021/04/07 05:20:08,0.015,0.000,0.182,0.000,5.103,9.245,110.871,91.719,83.833,170.745,168.158,175.832,180.233,181.678,172.686,131.011,35.099,35.351,34.757,34.397,35.872,36.045,34.755,32.152,31.266,34.598,35.906,35.896,35.260,34.852,38.517,39.431,37.873,38.972,36.693,37.849,34.231,34.440,37.872,37.937,35.443,35.279,35.271,35.358,0.910,1.184,0.868,1.731,1.092,1.366,1.366,1.821,1.637,2.005,0.819,1.185,1.821,2.006,1.274,1.366,-0.302,-0.490,-0.414,-0.284,-0.416,-0.437,0.023,169.993,167.704,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2021/04/07 05:20:09,0.015,0.000,0.182,0.000,5.103,9.245,110.871,91.719,83.833,170.745,168.158,175.832,180.233,181.678,172.686,131.011,35.099,35.351,34.757,34.397,35.872,36.045,34.755,32.152,31.266,34.598,35.906,35.896,35.260,34.852,38.517,39.431,37.873,38.972,36.693,37.849,34.231,34.440,37.872,37.937,35.443,35.279,35.271,35.358,0.910,1.184,0.868,1.731,1.092,1.366,1.366,1.821,1.637,2.005,0.819,1.185,1.821,2.006,1.274,1.366,-0.302,-0.490,-0.414,-0.284,-0.416,-0.437,0.023,169.993,167.704,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
