Timestamps,GT2 TURB SPEED,GT2 GEN OUTPUT,GT2 GT GEN OUTPUT,GT2 ST GEN OUTPUT,GT2 IGV POS,GT2 COMP ILET AIR TEMP,GT2 COMP OLET AIR TEMP,GT2 GT ROTOR COOL AIR TEMP(R),GT2 GT ROTOR COOL AIR TEMP(L),GT2 GT NO2 ROW DISC CAVITY TEMP(R),GT2 GT NO2 ROW DISC CAVITY TEMP(L),GT2 GT NO3 ROW DISC CAVITY TEMP(R),GT2 GT NO3 ROW DISC CAVITY TEMP(L),GT2 GT NO4 ROW DISC CAVITY TEMP(R),GT2 GT NO4 ROW DISC CAVITY TEMP(L),GT2 GT NO4 ROW DISC CAVITY TEMP(DOWN STREAM),GT2 LO SPLY TEMP,GT2 NO1 BRG DRN OIL TEMP,GT2 NO2 BRG DRN OIL TEMP,GT2 NO3 BRG DRN OIL TEMP,GT2 NO4 BRG DRN OIL TEMP,GT2 NO5 BRG DRN OIL TEMP,GT2 NO6 BRG DRN OIL TEMP,GT2 NO7 BRG DRN OIL TEMP,GT2 NO8 BRG DRN OIL TEMP,GT2 THRUST BRG DRN OIL TEMP,GT2 NO1 BRG PAD MTL TEMP-1,GT2 NO1 BRG PAD MTL TEMP-2,GT2 NO2 BRG PAD MTL TEMP-1,GT2 NO2 BRG PAD MTL TEMP-2,GT2 NO3 BRG PAD MTL TEMP-1,GT2 NO3 BRG PAD MTL TEMP-2,GT2 NO4 BRG PAD MTL TEMP-1,GT2 NO4 BRG PAD MTL TEMP-2,GT2 NO5 BRG PAD MTL TEMP,GT2 NO6 BRG PAD MTL TEMP,GT2 GEN BRG PAD MTL TEMP NO7-1,GT2 GEN BRG MTL TEMP NO7-2,GT2 GEN BRG PAD MTL TEMP NO8-1,GT2 GEN BRG MTL TEMP NO8-2,GT2 THRUST BRG PAD MTL TEMP(GT SIDE)-1,GT2 THRUST BRG PAD MTL TEMP(GT SIDE)-2,GT2 THRUST BRG PAD MTL TEMP(ST SIDE)-1,GT2 THRUST BRG PAD MTL TEMP(ST SIDE)-2,GT2 NO1 BRG ROTOR VIBRATION -X,GT2 NO1 BRG ROTOR VIBRATION -Y,GT2 NO2 BRG ROTOR VIBRATION -X,GT2 NO2 BRG ROTOR VIBRATION -Y,GT2 NO3 BRG ROTOR VIBRATION -X,GT2 NO3 BRG ROTOR VIBRATION -Y,GT2 NO4 BRG ROTOR VIBRATION -X,GT2 NO4 BRG ROTOR VIBRATION -Y,GT2 NO5 BRG ROTOR VIBRATION -X,GT2 NO5 BRG ROTOR VIBRATION -Y,GT2 NO6 BRG ROTOR VIBRATION -X,GT2 NO6 BRG ROTOR VIBRATION -Y,GT2 NO7 BRG ROTOR VIBRATION -X,GT2 NO7 BRG ROTOR VIBRATION -Y,GT2 NO8 BRG ROTOR VIBRATION -X,GT2 NO8 BRG ROTOR VIBRATION -Y,GT2 ROTOR POS-1(GT Side),GT2 ROTOR POS-2(GT Side),GT2 ROTOR POS-3(GT Side),GT2 ROTOR POS -1(ST Side),GT2 ROTOR POS -2(ST Side),GT2 ROTOR POS -3(ST Side),GT2 ROTOR ECCENTRICITY,GT2 BLADE PATH TEMP AVERAGE,GT2 EXH GAS TEMP AVERAGE,GT2 Brg1]XAmplitude,GT2 Brg1]YAmplitude,GT2 Brg2]XAmplitude,GT2 Brg2]YAmplitude,GT2 Brg3]XAmplitude,GT2 Brg4]XAmplitude,GT2 Brg5]XAmplitude,GT2 Brg1]XPhase,GT2 Brg1]YPhase,GT2 Brg2]XPhase,GT2 Brg2]YPhase,GT2 Brg3]XPhase,GT2 Brg4]XPhase,GT2 Brg5]XPhase,GT2 Brg1]XAmplitude (OA),GT2 Brg1]YAmplitude (OA),GT2 Brg2]XAmplitude (OA),GT2 Brg2]YAmplitude (OA),GT2 Brg3]XAmplitude (OA),GT2 Brg4]XAmplitude (OA),GT2 Brg5]XAmplitude (OA),Unnamed: 91
2021/04/07 06:10:00,3002.876,129.549,124.852,4.697,5.066,2.034,339.891,107.347,107.899,286.200,286.014,259.042,285.073,214.466,210.520,181.211,35.315,55.393,56.091,47.521,50.457,54.649,53.565,50.240,49.301,51.516,67.278,73.046,63.316,66.743,85.138,90.855,67.910,73.588,77.611,80.515,91.217,91.361,86.324,86.435,65.798,67.697,48.543,48.719,11.645,14.304,31.913,37.901,13.565,15.301,34.778,17.942,54.747,49.398,41.879,31.079,33.789,25.529,16.564,13.388,-0.089,-0.177,-0.183,-0.068,-0.179,-0.147,-0.064,500.679,466.361,3.500,5.630,24.538,28.617,11.165,32.295,48.898,143.130,250.278,44.505,41.600,173.830,160.275,284.690,7.000,8.400,26.600,30.500,12.400,32.500,50.600,
2021/04/07 06:10:01,3002.848,129.367,124.684,4.683,5.066,2.034,340.118,107.096,107.899,286.200,285.778,259.042,285.073,214.701,210.520,181.211,35.315,55.327,56.091,47.521,50.390,54.649,53.565,50.240,49.301,51.455,67.278,73.046,63.316,66.743,85.138,90.855,67.910,73.588,77.546,80.589,91.217,91.435,86.324,86.435,65.798,67.697,48.543,48.719,10.735,12.846,32.491,36.443,13.929,15.847,34.414,17.668,55.111,49.854,42.243,31.444,33.789,25.529,16.746,13.388,-0.091,-0.176,-0.183,-0.072,-0.182,-0.129,-0.064,500.685,466.523,3.500,5.630,24.538,28.617,11.165,32.295,48.898,143.130,250.278,44.505,41.600,173.830,160.275,284.690,7.000,8.400,26.600,30.500,12.400,32.500,50.600,
2021/04/07 06:10:02,3002.860,129.003,124.317,4.686,5.066,2.060,340.118,107.347,107.920,286.200,286.034,259.277,285.328,214.701,210.540,181.211,35.340,55.327,56.070,47.521,50.457,54.649,53.655,50.240,49.301,51.433,67.278,73.024,63.316,66.721,85.203,90.855,67.910,73.649,77.611,80.589,91.217,91.414,86.324,86.414,65.798,67.615,48.612,48.696,11.099,14.395,31.431,37.901,13.019,15.392,34.596,18.215,54.838,49.581,42.152,31.353,33.789,25.529,16.746,13.388,-0.092,-0.174,-0.176,-0.071,-0.194,-0.135,-0.064,500.778,466.750,3.500,5.630,24.538,28.617,11.165,32.295,48.898,143.130,250.278,44.505,41.600,173.830,160.275,284.690,7.000,8.400,26.600,30.500,12.400,32.500,50.600,
2021/04/07 06:10:03,3002.860,129.003,124.317,4.686,5.066,2.060,340.118,107.347,107.920,286.200,286.034,259.277,285.328,214.701,210.540,181.211,35.340,55.327,56.070,47.521,50.457,54.649,53.655,50.240,49.301,51.433,67.278,73.024,63.316,66.721,85.203,90.855,67.910,73.649,77.611,80.589,91.217,91.414,86.324,86.414,65.798,67.615,48.612,48.696,11.099,14.395,31.431,37.901,13.019,15.392,34.596,18.215,54.838,49.581,42.152,31.353,33.789,25.529,16.746,13.388,-0.092,-0.174,-0.176,-0.071,-0.194,-0.135,-0.064,500.778,466.750,3.500,5.630,24.538,28.617,11.165,32.295,48.898,143.130,250.278,44.505,41.600,173.830,160.275,284.690,7.000,8.400,26.600,30.500,12.400,32.500,50.600,
2021/04/07 06:10:04,3002.938,129.003,124.315,4.688,5.066,2.060,340.118,107.347,107.920,286.435,286.034,259.512,285.328,214.936,210.776,181.463,35.340,55.327,56.091,47.521,50.457,54.649,53.655,50.240,49.301,51.516,67.278,73.046,63.316,66.743,85.203,90.915,67.910,73.649,77.611,80.515,91.152,91.435,86.324,86.435,65.798,67.637,48.543,48.719,11.827,13.302,31.913,37.263,13.474,15.574,33.958,17.213,54.929,49.490,42.061,31.170,33.789,25.438,16.564,13.297,-0.087,-0.168,-0.171,-0.073,-0.192,-0.137,-0.064,500.852,467.029,3.677,6.129,23.689,32.671,10.382,32.705,49.186,202.380,236.310,40.549,44.256,172.807,160.346,284.121,8.100,8.800,25.700,34.100,11.600,33.100,50.700,
2021/04/07 06:10:05,3002.938,129.003,124.315,4.688,5.066,2.060,340.118,107.347,107.920,286.435,286.034,259.512,285.328,214.936,210.776,181.463,35.340,55.327,56.091,47.521,50.457,54.649,53.655,50.240,49.301,51.516,67.278,73.046,63.316,66.743,85.203,90.915,67.910,73.649,77.611,80.515,91.152,91.435,86.324,86.435,65.798,67.637,48.543,48.719,11.827,13.302,31.913,37.263,13.474,15.574,33.958,17.213,54.929,49.490,42.061,31.170,33.789,25.438,16.564,13.297,-0.087,-0.168,-0.171,-0.073,-0.192,-0.137,-0.064,500.852,467.029,3.677,6.129,23.689,32.671,10.382,32.705,49.186,202.380,236.310,40.549,44.256,172.807,160.346,284.121,8.100,8.800,25.700,34.100,11.600,33.100,50.700,
2021/04/07 06:10:06,3003.034,129.003,124.310,4.693,5.103,2.034,340.118,107.347,107.920,286.200,286.034,259.512,285.563,214.936,210.776,181.463,35.340,55.303,56.070,47.521,50.432,54.649,53.626,50.240,49.301,51.494,67.254,73.024,63.292,66.721,85.244,90.855,67.885,73.649,77.587,80.589,91.129,91.414,86.301,86.414,65.841,67.615,48.518,48.696,12.009,12.482,32.009,37.354,14.111,15.483,34.141,17.213,54.565,49.398,42.061,31.170,33.698,25.438,16.564,13.297,-0.092,-0.183,-0.177,-0.081,-0.198,-0.149,-0.064,500.870,467.130,3.677,6.129,23.689,32.671,10.382,32.705,49.186,202.380,236.310,40.549,44.256,172.807,160.346,284.121,8.100,8.800,25.700,34.100,11.600,33.100,50.700,
2021/04/07 06:10:07,3003.006,129.185,124.479,4.706,5.066,2.060,340.346,107.347,107.920,286.435,286.034,259.747,285.563,214.936,210.776,181.463,35.340,55.303,56.070,47.521,50.366,54.649,53.626,50.240,49.301,51.494,67.254,73.100,63.292,66.782,85.244,90.855,67.885,73.649,77.587,80.589,91.129,91.414,86.301,86.414,65.774,67.615,48.518,48.696,11.463,14.486,32.395,36.990,13.474,15.847,34.596,18.033,54.747,49.763,42.243,31.535,33.789,25.529,16.655,13.297,-0.087,-0.173,-0.173,-0.076,-0.193,-0.138,-0.064,500.913,467.191,3.677,6.129,23.689,32.671,10.382,32.705,49.186,202.380,236.310,40.549,44.256,172.807,160.346,284.121,8.100,8.800,25.700,34.100,11.600,33.100,50.700,
2021/04/07 06:10:08,3003.017,129.185,124.496,4.689,5.066,2.060,340.346,107.599,108.172,286.435,286.269,259.747,285.798,214.936,210.776,181.463,35.340,55.327,56.130,47.547,50.390,54.588,53.626,50.240,49.301,51.494,67.278,73.100,63.316,66.782,85.267,90.915,67.910,73.649,77.611,80.515,91.152,91.414,86.324,86.488,65.798,67.615,48.543,48.696,11.008,13.757,32.877,36.534,13.474,16.211,34.323,17.213,54.747,49.672,41.879,31.170,33.789,25.438,16.564,13.297,-0.093,-0.181,-0.179,-0.073,-0.193,-0.148,-0.064,500.907,467.409,4.657,5.304,23.842,30.104,11.089,32.098,48.827,165.069,224.236,43.130,41.634,172.747,161.283,284.833,7.700,8.200,25.800,31.800,12.200,32.500,50.700,
2021/04/07 06:10:09,3003.000,129.003,124.307,4.696,5.066,2.060,340.118,107.347,108.151,286.435,286.249,259.747,285.778,215.171,210.991,181.463,35.315,55.303,56.152,47.452,50.457,54.649,53.655,50.300,49.301,51.516,67.254,73.122,63.225,66.804,85.267,90.855,67.910,73.649,77.611,80.589,91.194,91.435,86.236,86.509,65.774,67.697,48.518,48.719,11.463,14.122,32.202,37.172,13.474,15.392,34.232,17.304,55.020,50.128,42.152,31.535,33.789,25.529,16.564,13.297,-0.095,-0.179,-0.176,-0.073,-0.191,-0.126,-0.064,500.980,467.520,4.657,5.304,23.842,30.104,11.089,32.098,48.827,165.069,224.236,43.130,41.634,172.747,161.283,284.833,7.700,8.200,25.800,31.800,12.200,32.500,50.700,
